subject	session	block	trial 	response duration	typeTop	typeBot	sameFlag	response	correctFlag	rt	rtFlag	face_top	x_top_target	y_top_target	x_top_probe	y_top_probe	face_bot	x_bot_target	y_bot_target	x_bot_probe	y_bot_probe
1	1	2	52	1.8	3	3	2	2	1	191.92	1	7	3	1	1	3	4	1	3	3	1
1	1	2	53	0.4	1	1	1	1	1	198.03	1	7	3	3	3	3	15	3	1	3	1
1	1	2	54	0.05	1	1	1	1	1	285.47	1	7	3	3	3	3	16	1	3	1	3
1	1	2	55	0.05	1	1	1	2	0	255.15	1	1	1	1	1	1	8	1	1	1	1
1	1	2	56	0.1	3	3	2	1	0	232.8	1	15	1	1	3	3	14	3	1	1	3
1	1	2	57	0.1	3	3	2	1	0	231.4	1	4	3	1	1	3	9	3	1	1	3
1	1	2	58	1.8	3	3	99	99	99	99	99	9	1	1	3	3	13	1	1	3	3
1	1	2	59	0.1	3	3	2	2	1	277.18	1	11	1	1	3	3	2	3	1	1	3
1	1	2	60	1.8	3	3	2	1	0	223.75	1	1	1	3	3	1	8	1	1	3	3
1	1	2	61	0.05	3	3	2	2	1	284.54	1	3	3	3	1	1	10	3	3	1	1
1	1	2	62	1.8	1	1	1	1	1	286.48	1	4	1	1	1	1	7	1	3	1	3
1	1	2	63	0.1	3	3	2	2	1	349.43	0	19	3	1	1	3	6	1	3	3	1
1	1	2	64	0.4	3	3	2	2	1	195.84	1	3	1	3	3	1	6	1	1	3	3
1	1	2	65	0.8	1	1	1	1	1	190.57	1	6	3	3	3	3	12	3	1	3	1
1	1	2	66	1.8	1	1	1	2	0	252.71	1	4	3	3	3	3	9	1	3	1	3
1	1	2	67	0.4	3	3	2	1	0	296.6	1	13	3	3	1	1	2	3	3	1	1
1	1	2	68	0.2	1	1	1	2	0	219.09	1	6	3	3	3	3	1	3	1	3	1
1	1	2	69	1.8	1	1	1	1	1	225.81	1	5	3	1	3	1	10	3	1	3	1
1	1	2	70	0.1	1	1	1	2	0	245.18	1	8	1	3	1	3	4	1	1	1	1
1	1	2	71	0.2	3	3	2	2	1	234.47	1	7	3	3	1	1	1	1	1	3	3
1	1	2	72	0.8	1	1	1	1	1	286.6	1	11	1	3	1	3	20	1	3	1	3
1	1	2	73	0.8	1	1	1	1	1	242.8	1	9	3	1	3	1	3	3	1	3	1
1	1	2	74	0.8	3	3	2	1	0	219.19	1	8	1	1	3	3	12	3	3	1	1
1	1	2	75	0.2	3	3	2	1	0	258.36	1	10	1	1	3	3	17	3	3	1	1
1	1	2	76	0.05	1	1	1	1	1	290.03	1	16	3	3	3	3	3	1	3	1	3
1	1	2	77	0.4	3	3	2	1	0	206.74	1	2	1	1	3	3	13	1	3	3	1
1	1	2	78	0.8	3	3	2	1	0	259.32	1	2	1	1	3	3	6	1	3	3	1
1	1	3	1	0.2	1	1	1	2	0	257.89	1	6	3	3	3	3	5	3	3	3	3
1	1	3	2	0.4	1	1	1	1	1	192.76	1	17	3	1	3	1	13	3	1	3	1
1	1	3	3	0.1	1	1	1	2	0	204.98	1	15	3	3	3	3	5	3	3	3	3
1	1	3	4	0.1	1	1	1	1	1	207.15	1	13	3	1	3	1	19	1	1	1	1
1	1	3	5	0.4	1	1	1	1	1	214.34	1	14	3	1	3	1	17	3	1	3	1
1	1	3	6	0.8	3	3	2	1	0	192.68	1	6	1	3	3	1	17	3	1	1	3
1	1	3	7	0.05	1	1	1	2	0	217.8	1	5	3	1	3	1	4	1	1	1	1
1	1	3	8	0.8	3	3	2	2	1	198.48	1	16	3	1	1	3	13	3	3	1	1
1	1	3	9	0.2	1	1	1	1	1	214.22	1	18	1	1	1	1	3	1	3	1	3
1	1	3	10	0.2	3	3	2	2	1	169.98	1	3	1	3	3	1	13	1	3	3	1
1	1	3	11	0.2	1	1	1	1	1	206.5	1	1	1	3	1	3	8	3	3	3	3
1	1	3	12	0.05	1	1	1	1	1	301.13	0	16	3	1	3	1	18	3	3	3	3
1	1	3	13	0.2	3	3	2	2	1	229.43	1	8	3	1	1	3	15	3	1	1	3
1	1	3	14	0.4	3	3	2	1	0	209.16	1	12	3	3	1	1	9	3	1	1	3
1	1	3	15	1.8	1	1	1	1	1	222.41	1	20	1	1	1	1	14	3	1	3	1
1	1	3	16	0.4	1	1	1	2	0	216.87	1	3	3	3	3	3	7	1	1	1	1
1	1	3	17	1.8	1	1	1	1	1	225.15	1	19	3	1	3	1	2	1	3	1	3
1	1	3	18	1.8	3	3	2	2	1	242.65	1	3	1	3	3	1	8	1	1	3	3
1	1	3	19	0.2	1	1	1	2	0	226.04	1	3	3	1	3	1	6	1	1	1	1
1	1	3	20	0.05	3	3	2	1	0	288.64	1	15	3	3	1	1	9	3	1	1	3
1	1	3	21	1.8	1	1	1	1	1	197.97	1	4	3	1	3	1	18	3	3	3	3
1	1	3	22	0.2	3	3	2	2	1	197.99	1	1	3	1	1	3	15	1	3	3	1
1	1	3	23	0.8	3	3	2	2	1	226.64	1	15	3	1	1	3	7	1	3	3	1
1	1	3	24	0.8	1	1	1	1	1	253.11	1	19	3	3	3	3	2	3	3	3	3
1	1	3	25	0.1	1	1	1	1	1	269.57	1	2	3	3	3	3	2	3	1	3	1
1	1	3	26	0.1	3	3	2	1	0	234.76	1	2	3	1	1	3	7	1	1	3	3
1	1	3	27	0.8	3	3	2	1	0	220.02	1	8	1	3	3	1	7	3	1	1	3
1	1	3	28	0.1	1	1	1	2	0	223.22	1	11	1	1	1	1	19	3	3	3	3
1	1	3	29	0.4	3	3	2	1	0	241.76	1	15	1	3	3	1	18	3	1	1	3
1	1	3	30	0.05	1	1	1	1	1	294.5	1	6	3	3	3	3	13	1	3	1	3
1	1	3	31	0.1	1	1	1	2	0	238.07	1	11	3	3	3	3	16	1	1	1	1
1	1	3	32	1.8	3	3	2	1	0	184.52	1	4	3	3	1	1	5	3	1	1	3
1	1	3	33	0.05	1	1	1	2	0	219.72	1	4	3	1	3	1	10	3	1	3	1
1	1	3	34	0.4	3	3	2	2	1	377.34	0	16	3	3	1	1	19	3	1	1	3
1	1	3	35	0.1	3	3	2	2	1	196.45	1	18	3	1	1	3	20	1	1	3	3
1	1	3	36	0.05	3	3	2	1	0	212.95	1	11	3	1	1	3	5	3	3	1	1
1	1	3	37	1.8	3	3	2	2	1	191.32	1	7	1	3	3	1	1	1	1	3	3
1	1	3	38	0.8	3	3	2	1	0	208.01	1	8	1	3	3	1	7	3	3	1	1
1	1	3	39	0.05	1	1	1	2	0	249.89	1	12	3	1	3	1	20	1	3	1	3
1	1	3	40	0.05	1	1	1	1	1	251.34	1	11	1	3	1	3	20	3	1	3	1
1	1	3	41	0.2	3	3	2	2	1	188.96	1	5	3	1	1	3	13	1	3	3	1
1	1	3	42	0.8	3	3	2	1	0	205.9	1	12	3	3	1	1	5	3	3	1	1
1	1	3	43	0.05	1	1	1	2	0	223.36	1	9	3	3	3	3	15	3	1	3	1
1	1	3	44	0.4	1	1	1	2	0	232.81	1	20	3	3	3	3	3	3	3	3	3
1	1	3	45	0.05	1	1	1	1	1	217.73	1	15	3	3	3	3	2	3	1	3	1
1	1	3	46	0.8	3	3	2	2	1	239.42	1	10	3	3	1	1	16	3	3	1	1
1	1	3	47	0.1	3	3	2	1	0	211.27	1	11	1	1	3	3	11	3	1	1	3
1	1	3	48	0.1	1	1	1	2	0	215.85	1	11	3	1	3	1	19	1	3	1	3
1	1	3	49	0.4	3	3	2	1	0	214.83	1	5	3	3	1	1	1	1	1	3	3
1	1	3	50	0.05	3	3	2	2	1	232.62	1	2	3	3	1	1	5	1	1	3	3
1	1	3	51	0.4	1	1	1	1	1	212.37	1	3	3	3	3	3	6	1	1	1	1
1	1	3	52	0.2	1	1	1	2	0	204.39	1	17	1	1	1	1	7	3	1	3	1
1	1	3	53	1.8	3	3	2	1	0	203.1	1	7	1	1	3	3	5	3	3	1	1
1	1	3	54	1.8	1	1	1	2	0	196.98	1	14	1	3	1	3	12	3	1	3	1
1	1	3	55	1.8	3	3	2	1	0	221.77	1	8	1	1	3	3	4	1	3	3	1
1	1	3	56	0.1	3	3	2	2	1	218.7	1	4	3	3	1	1	18	3	1	1	3
1	1	3	57	0.8	3	3	2	1	0	338.3	0	2	3	3	1	1	5	3	3	1	1
1	1	3	58	0.2	3	3	2	1	0	224.72	1	7	1	3	3	1	16	1	1	3	3
1	1	3	59	0.8	1	1	1	2	0	235.4	1	1	3	1	3	1	7	3	3	3	3
1	1	3	60	0.8	3	3	2	1	0	231.06	1	12	1	3	3	1	3	3	1	1	3
1	1	3	61	0.2	1	1	1	2	0	233.93	1	10	1	1	1	1	13	3	3	3	3
1	1	3	62	0.1	3	3	2	1	0	219.26	1	5	1	3	3	1	18	3	3	1	1
1	1	3	63	0.1	1	1	1	2	0	242.44	1	15	1	1	1	1	19	1	1	1	1
1	1	3	64	0.8	3	3	2	1	0	415.6	0	11	3	1	1	3	10	3	1	1	3
1	1	3	65	0.4	3	3	2	2	1	192.55	1	9	1	1	3	3	3	3	3	1	1
